concept,count,values
resource.alternateIdentifiers.alternateIdentifier.alternateIdentifierType,13,['URL']
resource.identifier.identifierType,13,['DOI']
resource.dates.date.@value,13,"['2012-12-27 01:26:09', '2016-08-02 17:36:45', '2020-10-21 10:57:34', '2021-04-19 07:20:02', '2021-06-22 09:18:50', '2021-09-13 12:32:14', '2021-10-07 12:03:52', '2022-01-01 02:12:36', '2022-05-08 18:19:48', '2022-08-18 13:40:20', '2022-12-14 15:15:39', '2023-07-05 08:56:29', '2023-08-09 07:35:15']"
resource.resourceType.resourceTypeGeneral,13,"['Dataset', 'Other']"
resource.publisher.@value,13,"['Public Library of Science', 'Taylor & Francis Group', 'University of Amsterdam / Amsterdam University of Applied Sciences', 'figshare']"
resource.creators.creator.creatorName.@value,13,"['A.L. de Bruijn', 'A.M. Kanis', 'Adam Fine', 'Agathe Cailleau', 'Anne Leonore de Bruijn', 'B. van Rooij', 'Benjamin van Rooij', 'Breast Cancer Family Registry', 'Bruno Hamon', 'C.F. Reinders Folmer', 'Catherine Voegele', 'Chaopeng Hong', 'Chu-Long Zhang', 'Claire Pascouau', 'Corentin Chateau', 'Daniel Sochard', 'David Abadi', 'E.B. Kooistra', 'E.H. Olthuis', 'Elise Morel', 'Elke H. Olthuis', 'Emmanuelle Laurent', 'Emmeke B. Kooistra', 'Esther M. John', 'Fabienne Lesueur', 'Florence Le Calvez-Kelm', 'Francesca Damiola', 'Franck Bastide', 'François-Marie Bréon', 'Fu-Cheng Lin', 'Geoffroy Durand', 'Graham Byrnes', 'H.J. Krugers', 'INNOCENSIA OWUOR', 'Irene L. Andrulis', 'Isabelle Sérandat', 'Ivan Janssens', 'J.J. Noordegraaf', 'J.M.J. Murre', 'Javier Oliver', 'Jin-Liang Wang', 'Jing Chen', 'John L. Hopper', 'Josep Penuelas', 'Julie Gombert', 'K.R. Ridderinkhof', 'Katsumasa Tanaka', 'L.P. Brinkhof', 'Leon van Wissen', 'Li-Juan Mao', 'Léna Gurriaran', 'M.A. Brownlee', 'M.E. Kuiper', 'Malouke E. Kuiper', 'Maxime P. Vallée', 'Megan A. Brownlee', 'Melissa C. Southey', 'Michael Obersteiner', 'Nathalie Forey', 'Nivonirina Robinot', 'Pascal Poupard', 'Philippe Ciais', 'Romain Berruyer', 'S. de Wit', 'S.K. Perehudoff', 'Sean V. Tavtigian', 'Sophie Aligon', 'Steven J. Davis', 'Stijn Dellaert', 'T. Blanke', 'THOMAS le MOULLEC-RIEU', 'Thomas Guillemette', 'Xiao-Xiao Feng', 'Yann Françoise', 'Yilong Wang', 'Yuan Jiang', 'Yuval Feldman', 'Zhu Deng', 'Zhu Liu']"
resource.resourceType.@value,13,"['Dataset', 'Online resource']"
resource.creators.creator.creatorName.nameType,13,['Personal']
resource.titles.title.@value,13,"['<i>Trichoderma</i> Biodiversity of Agricultural Fields in East China Reveals a Gradient Distribution of Species', 'A Dataset of Social-Psychological and Emotional Reactions during the COVID-19 Pandemic across Four European Countries', 'Characterization and pathogenicity of <i>Fusarium</i> spp. isolates causing root and collar rot on carrot', 'Compliance with COVID-19 mitigation measures in the Netherlands', 'Corona in the City dataset', 'Cross-Theoretical Compliance: An Integrative Compliance Analysis of COVID-19 Mitigation Responses in Israel', 'Daily natural gas flows', 'METARECORD: Changes in Perceived Ageism during the COVID-19 Pandemic: Impact on Quality of Life and Mental Well-being Among Older Adults', 'S1_COVID19 data', 'Social Distancing in America: Compliance with COVID-19 mitigation measures in the United States', 'Supplemental Information-Human rights framing at WTO for Covid vaccines', 'Table S1 - <em>RAD51</em> and Breast Cancer Susceptibility: No Evidence for Rare Variant Association in the Breast Cancer Family Registry Study', 'What can we learn from corona times? Fragments from the Internet']"
resource.creators.creator.givenName.@value,13,"['A.L.', 'A.M.', 'Adam', 'Agathe', 'Anne Leonore', 'B.', 'Benjamin', 'Breast', 'Bruno', 'C.F.', 'Catherine', 'Chaopeng', 'Chu-Long', 'Claire', 'Corentin', 'Daniel', 'David', 'E.B.', 'E.H.', 'Elise', 'Elke H.', 'Emmanuelle', 'Emmeke B.', 'Esther', 'Fabienne', 'Florence', 'Francesca', 'Franck', 'François-Marie', 'Fu-Cheng', 'Geoffroy', 'Graham', 'H.J.', 'INNOCENSIA', 'Irene', 'Isabelle', 'Ivan', 'J.J.', 'J.M.J.', 'Javier', 'Jin-Liang', 'Jing', 'John', 'Josep', 'Julie', 'K.R.', 'Katsumasa', 'L.P.', 'Leon', 'Li-Juan', 'Léna', 'M.A.', 'M.E.', 'Malouke E.', 'Maxime', 'Megan A.', 'Melissa', 'Michael', 'Nathalie', 'Nivonirina', 'Pascal', 'Philippe', 'Romain', 'S.', 'S.K.', 'Sean', 'Sophie', 'Steven J.', 'Stijn', 'T.', 'THOMAS', 'Thomas', 'Xiao-Xiao', 'Yann', 'Yilong', 'Yuan', 'Yuval', 'Zhu']"
