concept,count,values
datasetVersion.metadataBlocks.citation.fields.value.authorName.typeClass,10,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.typeName,1,['publicationIDNumber']
datasetVersion.metadataBlocks.citation.fields.typeClass,10,"['compound', 'controlledVocabulary', 'primitive']"
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.typeName,3,['authorIdentifierScheme']
datasetVersion.metadataBlocks.geospatial.fields.typeName,3,"['geographicBoundingBox', 'geographicCoverage', 'geographicUnit']"
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.value,2,"['0000-0001-7043-9439', '0000-0002-3584-3484', '0000-0002-4150-995X', '0000-0002-4509-0244', '0000-0002-5407-6823', '0000-0002-7863-8739', '0000-0003-4516-8766']"
datasetVersion.metadataBlocks.citation.fields.value.contributorName.multiple,1,[False]
datasetVersion.metadataBlocks.citation.fields.value.distributorName.value,2,"['Agriculture', 'International Food Policy Research Institute (IFPRI)']"
datasetVersion.metadataBlocks.citation.fields.value.authorAffiliation.multiple,8,[False]
datasetVersion.files.label,10,"['2020PGY_COVIDKenyaKAPAdolescentSurveyTool_Round1_KilifiKisumu_Swahili-Luo.xlsx', '2020PGY_COVIDKenyaKAPAdultSurveyTool_Round 1_KilifiKisumu_Swahili-Luo.xlsx', '2020PGY_COVIDKenyaKAP_Adolescent_COVID-19_Kilifi_Aug.pdf', '2020PGY_COVIDKenyaKAP_Adolescent_COVID-19_Kisumu_Aug.pdf', '2020PGY_COVIDKenyaKAP_Adolescent_Nairobi_Jun.pdf', '2020PGY_COVIDKenyaKAP_Adolescent_Wajir_Jul.pdf', '2020PGY_COVIDKenyaKAP_Adult_Kilifi_Brief_Sept.pdf', '2020PGY_COVIDKenyaKAP_Adult_Kisumu_Brief_Sept.pdf', '2020PGY_COVIDKenyaKAP_Adult_Wajir_Brief_Sept.pdf', '2020PGY_COVIDKenyaKAP_Multisite Brief_Oct.pdf', '2020PGY_COVIDKenyaKAP_Round4_GenderResultsBrief_Jun.pdf', '2020PGY_COVIDKenyaKAP_StudyDescription.pdf', '2020PGY_CovidGenderReviewStudyDescription.pdf', '2020PGY_CovidKenyaKAPAdolescentBriefRound4.pdf', '2020PGY_CovidKenyaKAPStudyAdolesRound4.tab', '2020PGY_CovidKenyaKAPStudyBriefRound3.pdf', '2020PGY_CovidKenyaKAPStudyBriefRound4.pdf', '2020PGY_CovidKenyaKAPStudyPresentationPrelimFindings.pdf', '2020PGY_CovidKenyaKAPStudyPresentationRound2.pdf', '2020PGY_CovidKenyaKAPStudyPresentationRound3.pdf', '2020PGY_CovidKenyaKAPStudyPresentationRound4.pdf', '2020PGY_CovidKenyaKAPStudyResultsBriefRound2.pdf', '2020PGY_CovidKenyaKAPStudyRound1.xlsx', '2020PGY_CovidKenyaKAPStudyRound2.xlsx', '2020PGY_CovidKenyaKAPStudyRound3.tab', '2020PGY_CovidKenyaKAPStudyRound4-1.tab', '2020PGY_CovidKenyaKAPStudyRound4.tab', '2020PGY_CovidKenyaKAPWajirAdolescentRound1.xlsx', '2020PGY_CovidKenyaKAPWajirAdultRound1.xlsx', '2021_COVIDKenyaKAP_AdultPlusAdolescent_R5.tab', '2021_COVIDKenyaKAP_SES Impact of COVID_200721_SupplementalData.docx', '2021_COVIDKenyaKAP_SES Impact of COVID_200721_final.do', '2022SBSR_COVIDKenya_KAP_Merged_Allsites.dta', 'Aldrich et al COVID Community Assessment Survey.pdf', 'CLEANING_wave1_Indiana.do', 'CLEANING_wave1_National.do', 'CLEANING_wave2.do', 'CLEANING_wave3.do', 'CLEANING_wave4.do', 'COMBINED_waves_1234.tab', 'COMBINING_waves.do', 'Charles Transcript.docx', 'Cleaning Replication.txt', 'Cleaning_Replication.do', 'Cynthia Transcript.docx', 'Evaluation of biofertilizers in irrigated rice effects on grain yield at different fertilizer rates..pdf', 'Fred transcript.docx', 'Ghana_COVID19_R6.tab', 'Ghana_COVID19_R6_codebook.tab', 'Ghana_COVID19_R6_codebook_choices.tab', 'Ghana_COVID19_R6_questionnaire.pdf', 'Hesh transcript edited.docx', 'INDU0005_OUTPUT_national.tab', 'Monthly EI.do', 'Nature Energy Read Me.txt', 'Operational_Data_2018.xlsx', 'RAW_wave1_Indiana.tab', 'RAW_wave1_National.tab', 'RAW_wave2.tab', 'RAW_wave3.tab', 'RAW_wave4.tab', 'Raw Files.txt', 'Regression_Replication.do', 'Replication_Survey.tab', 'Smoking Covid-19 Patients.tab', 'Wave1_Indiana_codebook.pdf', 'Wave1_National_codebook.pdf', 'Wave2_codebook.pdf', 'Wave3_codebook.pdf', 'Wave4_codebook.pdf', 'Waves EI.do', 'Willow transcript.docx', 'amelia transcript.docx', 'antonio transcript.docx', 'data_DiLonardo_PlantBiosystems2020_.xlsx', 'jordan transcript.docx', 'kevin transcript.docx', 'levi transcript.docx', 'lilah transcript.docx', 'manassa transcript.docx', 'monthly_energy_insecurity.dta', 'nicholas transcript.docx', 'nora transcript.docx', 'paul transcript.docx', 'rosa transcript.docx', 'sarah transcript.docx', 'siobhan interview.docx', 'waves_energy_insecurity.tab', 'weights_national_extra_cmd-2.tab', 'zcta_urban.tab', 'zcta_urban_v2.tab']"
