concept,count,values
last_modified,8,"['2018-11-01T00:00:00', '2020-07-22T20:52:32.678420', '2021-03-18T05:32:22.331269', '2021-12-21T09:18:17.710767', '2023-10-31T16:32:18.312633', '2023-10-31T16:37:08.614158', '2023-11-16T00:23:10.375827', '2023-11-16T00:23:20.828828']"
doc_id,8,"['26584b9b-357a-4234-82f1-deed385ad6e8', '2bc0e238-d371-4fb8-8317-267c7c92d623', '2dc69db0-4b13-4944-82a4-970d542b1cc0', '6dba4914-2ebe-42a3-afa4-6c28227442fe', '7125169c-2515-4de4-9622-b9a5e8010f5c', '76f85e19-9b9a-45d4-977c-7a563e8f75d3', 'e4dc84f3-90af-4109-b7c9-f12129d4bf14', 'f07fce5c-6b9a-4f3e-a3b6-017493a7c8d0']"
dataset_source,7,"['Angostura', 'Mobile Accord, Inc. (GeoPoll)', 'OpenStreetMap contributors', 'World Health Organization', 'WorldPop, University of Southampton, UK', 'kontur']"
created,1,['2020-03-11T16:23:45.309926']
dataset_date,7,"['[1990-01-01T00:00:00 TO 2021-12-31T23:59:59]', '[2000-01-01T00:00:00 TO 2020-12-31T23:59:59]', '[2020-06-11T00:00:00 TO 2020-07-06T23:59:59]', '[2020-11-15T00:00:00 TO *]', '[2023-06-27T00:00:00 TO 2023-06-27T23:59:59]', '[2023-07-10T00:00:00 TO 2023-11-01T23:59:59]']"
resources.name,7,"['AMR GASP Indicators for Switzerland', 'Adolescent mortality Indicators for Switzerland', 'Air pollution Indicators for Switzerland', 'All Health Indicators for Switzerland', 'Antimicrobial Surveillance Indicators for Switzerland', 'Child Mortality Indicators for Switzerland', 'Child health Indicators for Switzerland', 'Child mortality Indicators for Switzerland', 'Country policy Indicators for Switzerland', 'Dementia Indicators for Switzerland', 'Demographic and socioeconomic statistics Indicators for Switzerland', 'Economic Impact of COVID19 Sub Saharan Africa.xlsx', 'Education Indicators for Switzerland', 'Electromagnetic fields Indicators for Switzerland', 'Essential health technologies Indicators for Switzerland', 'FINANCIAL PROTECTION - IMPOVERISHMENT Indicators for Switzerland', 'FINANCIAL PROTECTION Indicators for Switzerland', 'Family Planning Indicators for Switzerland', 'Financial Protection Indicators for Switzerland', 'Global Observatory for eHealth (GOe) Indicators for Switzerland', 'HIV/AIDS and other STIs Indicators for Switzerland', 'Health Expenditure Indicators for Switzerland', 'Health policy Indicators for Switzerland', 'Health systems Indicators for Switzerland', 'Health workforce Indicators for Switzerland', 'Hemoglobin level Indicators for Switzerland', 'Immunization Indicators for Switzerland', 'Infectious diseases Indicators for Switzerland', 'Injuries and violence Indicators for Switzerland', 'International Health Regulations (2005) monitoring framework Indicators for Switzerland', 'International Health Regulations Indicators for Switzerland', 'Lead paint Indicators for Switzerland', 'Maternal and reproductive health Indicators for Switzerland', 'Medical Devices Indicators for Switzerland', 'Medical equipment Indicators for Switzerland', 'Millennium Development Goals (MDGs) Indicators for Switzerland', 'Mortality and global health estimates Indicators for Switzerland', 'NLIS Indicators for Switzerland', 'Neglected Tropical Diseases Indicators for Switzerland', 'Neglected tropical diseases Indicators for Switzerland', 'Noncommunicable diseases CCS Indicators for Switzerland', 'Noncommunicable diseases Indicators for Switzerland', 'Noncommunicable diseases and mental health Indicators for Switzerland', 'Nutrition Indicators for Switzerland', 'Nutrition Landscape Information System Indicators for Switzerland', 'ORALHEALTH Indicators for Switzerland', 'Prison data Indicators for Switzerland', 'Public health and environment Indicators for Switzerland', 'QuickCharts Indicators for Switzerland', 'RSUD: GOVERNANCE, POLICY AND FINANCING : PREVENTION Indicators for Switzerland', 'RSUD: GOVERNANCE, POLICY AND FINANCING: FINANCING Indicators for Switzerland', 'RSUD: GOVERNANCE, POLICY AND FINANCING: TREATMENT Indicators for Switzerland', 'RSUD: HUMAN RESOURCES Indicators for Switzerland', 'RSUD: INFORMATION SYSTEMS Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: PHARMACOLOGICAL TREATMENT Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: PREVENTION PROGRAMS AND PROVIDERS Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: SCREENING AND BRIEF INTERVENTIONS Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: SPECIAL PROGRAMMES AND SERVICES Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: TREATMENT CAPACITY AND TREATMENT COVERAGE Indicators for Switzerland', 'RSUD: SERVICE ORGANIZATION AND DELIVERY: TREATMENT SECTORS AND PROVIDERS Indicators for Switzerland', 'RSUD: YOUTH Indicators for Switzerland', 'Risk factors: Radon Indicators for Switzerland', 'Substance abuse Indicators for Switzerland', 'Substance use and mental health Indicators for Switzerland', 'Sustainable development goals Indicators for Switzerland', 'TOBACCO Indicators for Switzerland', 'Tuberculosis Indicators for Switzerland', 'Universal Health Coverage Indicators for Switzerland', 'WASH Indicators for Switzerland', 'World Health Statistics Indicators for Switzerland', 'fra_f_0_2016.tif', 'fra_f_0_2017.tif', 'fra_f_0_2018.tif', 'fra_f_0_2019.tif', 'fra_f_0_2020.tif', 'fra_f_10_2016.tif', 'fra_f_10_2017.tif', 'fra_f_10_2018.tif', 'fra_f_10_2019.tif', 'fra_f_10_2020.tif', 'fra_f_15_2016.tif', 'fra_f_15_2017.tif', 'fra_f_15_2018.tif', 'fra_f_15_2019.tif', 'fra_f_15_2020.tif', 'fra_f_1_2016.tif', 'fra_f_1_2017.tif', 'fra_f_1_2018.tif', 'fra_f_1_2019.tif', 'fra_f_1_2020.tif', 'fra_f_20_2016.tif', 'fra_f_20_2017.tif', 'fra_f_20_2018.tif', 'fra_f_20_2019.tif', 'fra_f_20_2020.tif', 'fra_f_25_2016.tif', 'fra_f_25_2017.tif', 'fra_f_25_2018.tif', 'fra_f_25_2019.tif', 'fra_f_25_2020.tif', 'fra_f_30_2016.tif', 'fra_f_30_2017.tif', 'fra_f_30_2018.tif', 'fra_f_30_2019.tif', 'fra_f_30_2020.tif', 'fra_f_35_2016.tif', 'fra_f_35_2017.tif', 'fra_f_35_2018.tif', 'fra_f_35_2019.tif', 'fra_f_35_2020.tif', 'fra_f_40_2016.tif', 'fra_f_40_2017.tif', 'fra_f_40_2018.tif', 'fra_f_40_2019.tif', 'fra_f_40_2020.tif', 'fra_f_45_2016.tif', 'fra_f_45_2017.tif', 'fra_f_45_2018.tif', 'fra_f_45_2019.tif', 'fra_f_45_2020.tif', 'fra_f_50_2016.tif', 'fra_f_50_2017.tif', 'fra_f_50_2018.tif', 'fra_f_50_2019.tif', 'fra_f_50_2020.tif', 'fra_f_55_2016.tif', 'fra_f_55_2017.tif', 'fra_f_55_2018.tif', 'fra_f_55_2019.tif', 'fra_f_55_2020.tif', 'fra_f_5_2016.tif', 'fra_f_5_2017.tif', 'fra_f_5_2018.tif', 'fra_f_5_2019.tif', 'fra_f_5_2020.tif', 'fra_f_60_2016.tif', 'fra_f_60_2017.tif', 'fra_f_60_2018.tif', 'fra_f_60_2019.tif', 'fra_f_60_2020.tif', 'fra_f_65_2016.tif', 'fra_f_65_2017.tif', 'fra_f_65_2018.tif', 'fra_f_65_2019.tif', 'fra_f_65_2020.tif', 'fra_f_70_2016.tif', 'fra_f_70_2017.tif', 'fra_f_70_2018.tif', 'fra_f_70_2019.tif', 'fra_f_70_2020.tif', 'fra_f_75_2016.tif', 'fra_f_75_2017.tif', 'fra_f_75_2018.tif', 'fra_f_75_2019.tif', 'fra_f_75_2020.tif', 'fra_f_80_2016.tif', 'fra_f_80_2017.tif', 'fra_f_80_2018.tif', 'fra_f_80_2019.tif', 'fra_f_80_2020.tif', 'fra_m_0_2016.tif', 'fra_m_0_2017.tif', 'fra_m_0_2018.tif', 'fra_m_0_2019.tif', 'fra_m_0_2020.tif', 'fra_m_10_2016.tif', 'fra_m_10_2017.tif', 'fra_m_10_2018.tif', 'fra_m_10_2019.tif', 'fra_m_10_2020.tif', 'fra_m_15_2016.tif', 'fra_m_15_2017.tif', 'fra_m_15_2018.tif', 'fra_m_15_2019.tif', 'fra_m_15_2020.tif', 'fra_m_1_2016.tif', 'fra_m_1_2017.tif', 'fra_m_1_2018.tif', 'fra_m_1_2019.tif', 'fra_m_1_2020.tif', 'fra_m_20_2016.tif', 'fra_m_20_2017.tif', 'fra_m_20_2018.tif', 'fra_m_20_2019.tif', 'fra_m_20_2020.tif', 'fra_m_25_2016.tif', 'fra_m_25_2017.tif', 'fra_m_25_2018.tif', 'fra_m_25_2019.tif', 'fra_m_25_2020.tif', 'fra_m_30_2016.tif', 'fra_m_30_2017.tif', 'fra_m_30_2018.tif', 'fra_m_30_2019.tif', 'fra_m_30_2020.tif', 'fra_m_35_2016.tif', 'fra_m_35_2017.tif', 'fra_m_35_2018.tif', 'fra_m_35_2019.tif', 'fra_m_35_2020.tif', 'fra_m_40_2016.tif', 'fra_m_40_2017.tif', 'fra_m_40_2018.tif', 'fra_m_40_2019.tif', 'fra_m_40_2020.tif', 'fra_m_45_2016.tif', 'fra_m_45_2017.tif', 'fra_m_45_2018.tif', 'fra_m_45_2019.tif', 'fra_m_45_2020.tif', 'fra_m_50_2016.tif', 'fra_m_50_2017.tif', 'fra_m_50_2018.tif', 'fra_m_50_2019.tif', 'fra_m_50_2020.tif', 'fra_m_55_2016.tif', 'fra_m_55_2017.tif', 'fra_m_55_2018.tif', 'fra_m_55_2019.tif', 'fra_m_55_2020.tif', 'fra_m_5_2016.tif', 'fra_m_5_2017.tif', 'fra_m_5_2018.tif', 'fra_m_5_2019.tif', 'fra_m_5_2020.tif', 'fra_m_60_2016.tif', 'fra_m_60_2017.tif', 'fra_m_60_2018.tif', 'fra_m_60_2019.tif', 'fra_m_60_2020.tif', 'fra_m_65_2016.tif', 'fra_m_65_2017.tif', 'fra_m_65_2018.tif', 'fra_m_65_2019.tif', 'fra_m_65_2020.tif', 'fra_m_70_2016.tif', 'fra_m_70_2017.tif', 'fra_m_70_2018.tif', 'fra_m_70_2019.tif', 'fra_m_70_2020.tif', 'fra_m_75_2016.tif', 'fra_m_75_2017.tif', 'fra_m_75_2018.tif', 'fra_m_75_2019.tif', 'fra_m_75_2020.tif', 'fra_m_80_2016.tif', 'fra_m_80_2017.tif', 'fra_m_80_2018.tif', 'fra_m_80_2019.tif', 'fra_m_80_2020.tif', 'hotosm_fra_aquitaine_airports_gpkg.zip', 'hotosm_fra_aquitaine_airports_lines_kml.zip', 'hotosm_fra_aquitaine_airports_lines_shp.zip', 'hotosm_fra_aquitaine_airports_points_kml.zip', 'hotosm_fra_aquitaine_airports_points_shp.zip', 'hotosm_fra_aquitaine_airports_polygons_kml.zip', 'hotosm_fra_aquitaine_airports_polygons_shp.zip', 'kontur_population_FR_20220630.gpkg', 'kontur_population_FR_20231101.gpkg', 'kontur_population_IE_20220630.gpkg', 'kontur_population_IE_20231101.gpkg', 'open_one_time_covid_impact.csv']"
description,1,['See resource descriptions below for links to indicator metadata']
methodology_other,7,"[None, "" Kontur Population dataset was built based on [H3: Hexagonal Hierarchical Spatial Index](https://h3geo.org).\n\nCalculating population is based on overlapping Global Human Settlement Layer ([GHSL](https://ghsl.jrc.ec.europa.eu)) with Facebook High Resolution Settlement Layer ([HRSL](https://research.facebook.com/downloads/high-resolution-settlement-layer-hrsl)) population data where available.\n\nKnown artifacts of both datasets are constrained using OpenStreetMap data as a hint. Quarries and big roads are marked unpopulated, as they are often falsely detected as populated in GHSL. Lakes, rivers, glaciers, sands, forests, and other similar areas are also marked as unpopulated.\n\nWe use Microsoft Building Footprint data, Land Information New Zealand and Copernicus Global Land Service: Land Cover 100m to improve the accuracy of population distribution.\n\nBuilding presence, or otherwise built-up area, implies there’s someone on the ground, which is often missed in HRSL data for Africa.\n\nWe use scale coefficient taking into account the nesting of levels of administrative division in cases when the total population of the administrative area significantly differs from the United Nations population estimates and projections.\n\nOverly hot pixels like 'half a million people in a quarter of square kilometer' are spread out to more realistic surroundings. The population is shifted to neighboring cells to satisfy constraints.\n\nNon-integer populations are fixed up by 'gluing people back together' to keep realistic human beings."", 'Estimates of total number of people per grid square broken down by gender and age groupings (including 0-1 and by 5-year up to 80+) in 2020 for FranceThe dataset is available to download in Geotiff format at a resolution of 3 arc (approximately 100m at the equator) . The projection is Geographic Coordinate System, WGS84. The units are estimated number of male/female in each age group per grid square.The mapping approach is Pezzulo, C. et al. Sub-national mapping of population pyramids and dependency ratios in Africa and Asia. Sci. Data 4:170089 doi:10.1038/sdata.2017.89 (2017)Filenames: Example - afg_f_05_2000.tif People per pixel (PPP) for female age group 5 to 9 years (f_05) in Afghanistan for year 2000.For other datasets, m = male, 00 = age group 0 to 12months, 01 = age group 1 to 4 years, 80 = age 80 years and over', 'Volunteered geographic information']"
name,8,"['All Health Indicators for Switzerland', 'economic-impact-of-covid-19-in-sub-saharan-africa', 'hotosm_fra_aquitaine_airports', 'kontur-population-france', 'kontur-population-ireland', 'open_one_time_covid_impact', 'who-data-for-switzerland', 'worldpop-age-and-sex-structures-for-france']"
resources.mimetype,7,"[None, '', 'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet', 'text/csv']"
